R1-PINH,159.75,-23.53,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R10,37.07,-4.59,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R1_BAT,120.06,20.55,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_C0402
R1_PINH1,87.61,37.29,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R1_PWRUSB,117.42,11.04,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2,65.17,-15.49,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-PINH,160.96,-23.53,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-PINH1,95.27,33.99,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-USB,150.09,21.73,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-USB1,157.13,23.17,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2_BAT,123.80,17.13,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R3,70.02,-10.27,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_C0402
R4,67.33,-16.59,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R5,41.75,20.21,90.60,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R6,10.37,72.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R7,35.49,-4.59,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R8,30.91,-4.69,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R9,76.53,-1.79,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
RESET_BUTTON,24.06,80.06,180.00,BUTTON_CUSYOMV11,MYBUTTON
R_BOOT,45.87,79.97,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CAPACITOR,94.92,26.44,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CHANGE,60.93,79.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CL1,78.37,-1.87,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_RESET,21.03,79.89,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
SENSOR2,159.25,-17.98,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.86,-17.41,0.00,,SJ
TP1,4.41,41.09,0.00,TP,TP20R
TP10,62.72,-23.69,0.00,TP,TP20R
TP11,3.49,9.19,0.00,TP,TP20R
TP12,98.89,-25.29,0.00,TP,TP20R
TP13,99.32,-21.19,0.00,TP,TP20R
TP14,121.57,34.41,0.00,TP,TP20R
TP15,15.12,9.51,0.00,TP,TP20R
TP16,76.09,79.49,0.00,TP,TP20R
TP17,73.34,-23.61,0.00,TP,TP20R
TP2,4.33,46.49,0.00,TP,TP20R
TP3,130.55,34.39,0.00,TP,TP20R
TP4,126.37,34.59,0.00,TP,TP20R
TP5,3.39,2.99,0.00,TP,TP20R
TP6,3.21,74.89,0.00,TP,TP20R
TP7,67.93,-23.71,0.00,TP,TP20R
TP8,9.45,9.59,0.00,TP,TP20R
TP9,3.47,-2.71,0.00,TP,TP20R
U1,46.09,26.86,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.30,25.74,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.85,29.00,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,137.47,23.12,0.00,MAX17048G+T10,SON50P200X200X80-9N
